Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
2,7358,species,Tricolored Heron,Egretta tricolor,1,Grandview Nature Preserve,US-VA,10 Sep 2023,L718480,S149819213,,1
4,5741,species,American Golden-Plover,Pluvialis dominica,1,Sandybottom Turf Farm,US-VA,06 Sep 2023,L3880015,S149163138,,1
5,6032,species,Baird's Sandpiper,Calidris bairdii,1,Plum Tree Island NWR (restricted access),US-VA,02 Sep 2023,L9379841,S148826955,,1
6,11781,species,Peregrine Falcon,Falco peregrinus,1,Riverside Turf Farm,US-VA,31 Aug 2023,L3878270,S148655302,,1
7,5597,species,Limpkin,Aramus guarauna,1,Three Lakes Park & Nature Center,US-VA,24 Aug 2023,L634305,S148028955,,1
9,5929,species,Upland Sandpiper,Bartramia longicauda,1,Riverside Turf Farm,US-VA,16 Aug 2023,L3878270,S147750273,,1
10,700,species,Hooded Merganser,Lophodytes cucullatus,1,Jamestown Island--Causeway,US-VA,08 Aug 2023,L3565466,S146793426,,1
12,6045,species,Western Sandpiper,Calidris mauri,1,Ditch Bank Road,US-VA,16 Jul 2023,L10027521,S144817376,,1
13,11109,species,Red-cockaded Woodpecker,Dryobates borealis,2,Big Woods WMA--Woodpecker Trail,US-VA,07 Jul 2023,L23320005,S147385772,,1
14,3604,species,Eastern Whip-poor-will,Antrostomus vociferus,1,"33358-33588 Chinquapin Road, Waverly, Virginia, US (36.986, -77.051)",US-VA,07 Jul 2023,L26604802,S147384940,,1
15,7540,species,Roseate Spoonbill,Platalea ajaja,1,Hog Island WMA,US-VA,13 Jun 2023,L718515,S141486972,,1
16,7223,species,American White Pelican,Pelecanus erythrorhynchos,11,Hog Island WMA,US-VA,13 Jun 2023,L718515,S141486972,,1
17,965,species,Northern Bobwhite,Colinus virginianus,6,Hog Island WMA,US-VA,13 Jun 2023,L718515,S141486972,,1
18,3584,species,Chuck-will's-widow,Antrostomus carolinensis,1,"606 Dogwood Road, Yorktown, Virginia, US (37.224, -76.556)",US-VA,09 Jun 2023,L25168294,S141455293,,1
19,5696,species,Black-necked Stilt,Himantopus mexicanus,1,Back Bay NWR--C Pool,US-VA,09 Jun 2023,L465591,S141066670,,1
